Bandit,Reward,Algorithm
2.0,2.3575126642000837,ThompsonSampling
2.0,2.388299032817578,ThompsonSampling
2.0,3.7370811925624707,ThompsonSampling
2.0,0.29821725178184844,ThompsonSampling
2.0,3.8833400738700323,ThompsonSampling
2.0,3.7041917518111136,ThompsonSampling
2.0,2.4677771398339194,ThompsonSampling
2.0,2.366750213487001,ThompsonSampling
2.0,2.8507372277553573,ThompsonSampling
2.0,1.6738647533139084,ThompsonSampling
2.0,2.5503510618723793,ThompsonSampling
2.0,1.594616858868058,ThompsonSampling
2.0,2.800633049856238,ThompsonSampling
2.0,1.6871331944139534,ThompsonSampling
2.0,1.45813310194638,ThompsonSampling
2.0,3.5761337347072355,ThompsonSampling
2.0,2.402254296921729,ThompsonSampling
2.0,3.8243359408717663,ThompsonSampling
2.0,1.5441998193795077,ThompsonSampling
2.0,1.0122212483325617,ThompsonSampling
2.0,4.383195852859195,ThompsonSampling
2.0,3.6289258026692757,ThompsonSampling
2.0,1.4973891407474218,ThompsonSampling
2.0,3.7579425067197607,ThompsonSampling
2.0,3.144651947693472,ThompsonSampling
2.0,2.9237921801403775,ThompsonSampling
2.0,2.9774028360072005,ThompsonSampling
2.0,2.5761570888091248,ThompsonSampling
2.0,1.2776721665345414,ThompsonSampling
2.0,0.8665270200208406,ThompsonSampling
2.0,3.850469420588188,ThompsonSampling
2.0,2.467917441257897,ThompsonSampling
2.0,3.160692200039565,ThompsonSampling
2.0,3.2362890713630588,ThompsonSampling
2.0,2.6591339767565816,ThompsonSampling
2.0,2.121528974035774,ThompsonSampling
2.0,3.3454089623283454,ThompsonSampling
2.0,4.308045308890322,ThompsonSampling
2.0,3.0027139163913317,ThompsonSampling
2.0,1.8408044825587009,ThompsonSampling
2.0,3.6767195344233974,ThompsonSampling
2.0,1.8635276764556248,ThompsonSampling
2.0,3.067065577332251,ThompsonSampling
2.0,3.368201748400945,ThompsonSampling
2.0,4.297068422714123,ThompsonSampling
2.0,2.0684444809887252,ThompsonSampling
2.0,3.1642564702323006,ThompsonSampling
2.0,2.221757997247048,ThompsonSampling
2.0,1.1089881075473895,ThompsonSampling
2.0,3.1539786691778415,ThompsonSampling
1.0,2.876229421087622,ThompsonSampling
2.0,3.12487483654978,ThompsonSampling
2.0,2.7681404332437847,ThompsonSampling
2.0,3.92701198585947,ThompsonSampling
2.0,3.620028235531691,ThompsonSampling
1.0,0.8807903820955845,ThompsonSampling
2.0,1.8151868403122309,ThompsonSampling
2.0,3.5173437519308366,ThompsonSampling
2.0,1.5932890795824595,ThompsonSampling
2.0,3.0572526917649285,ThompsonSampling
2.0,1.307250127348178,ThompsonSampling
2.0,2.065505287351061,ThompsonSampling
2.0,4.233322626315813,ThompsonSampling
2.0,3.2535753492085586,ThompsonSampling
2.0,2.565749338561435,ThompsonSampling
2.0,4.803561453016312,ThompsonSampling
2.0,2.481979897401356,ThompsonSampling
2.0,3.517360685599389,ThompsonSampling
2.0,3.3175349711835045,ThompsonSampling
2.0,4.490245376049398,ThompsonSampling
2.0,0.9654485393430896,ThompsonSampling
2.0,2.436910874898916,ThompsonSampling
2.0,1.433552351032266,ThompsonSampling
2.0,2.918748114013383,ThompsonSampling
2.0,2.4220347419225705,ThompsonSampling
2.0,2.7764966894602967,ThompsonSampling
2.0,2.328310367727747,ThompsonSampling
2.0,2.4384580599377514,ThompsonSampling
2.0,0.8938417611333507,ThompsonSampling
2.0,4.27128038797431,ThompsonSampling
2.0,3.2265984424444807,ThompsonSampling
2.0,1.6080885241034566,ThompsonSampling
2.0,3.4758543015501577,ThompsonSampling
2.0,3.129898079905847,ThompsonSampling
2.0,4.788284499616592,ThompsonSampling
2.0,3.3137670380839737,ThompsonSampling
2.0,2.5322625826732925,ThompsonSampling
2.0,1.9761052156059928,ThompsonSampling
2.0,3.4100513640144783,ThompsonSampling
2.0,2.399968022493859,ThompsonSampling
2.0,1.283636248173854,ThompsonSampling
2.0,4.8552162547227615,ThompsonSampling
2.0,3.710599282239961,ThompsonSampling
2.0,2.672090687175726,ThompsonSampling
2.0,2.650375740230746,ThompsonSampling
2.0,2.774072158676396,ThompsonSampling
2.0,3.195295905936467,ThompsonSampling
2.0,1.2772258288542992,ThompsonSampling
2.0,2.946591940831209,ThompsonSampling
2.0,2.2263813460034907,ThompsonSampling
2.0,1.7313882898534436,ThompsonSampling
2.0,2.8010849147862276,ThompsonSampling
2.0,2.5038220837115794,ThompsonSampling
2.0,2.995591300923639,ThompsonSampling
2.0,2.0147566811899598,ThompsonSampling
2.0,4.418935467995098,ThompsonSampling
2.0,1.877663213552217,ThompsonSampling
2.0,3.7555696966400944,ThompsonSampling
2.0,2.5602835350249986,ThompsonSampling
2.0,4.219190074677198,ThompsonSampling
2.0,0.8055215309339303,ThompsonSampling
